Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change,dummy_crisis_2008_period,dummy_covid_2020_period
1990-04-01,102.41,133.9,13.675,3.8,59160.0,4105.955,8.26,10.37,5960.028,0.0029380080305552,0.0143939393939394,0.012962962962963,0.0131871895872581,0.0042658231153316,0.0036452004860265,0.0480040424456795,0.0148699891242547,0,0
1990-07-01,101.87,135.7,13.85,4.7,59930.0,4123.39587804878,8.15,10.035,6015.116,-0.0052729225661555,0.0134428678117997,0.012797074954296,0.0130155510480054,0.0042477031649836,-0.0133171912832928,-0.0323047251687559,0.0092429095970689,0,0
1990-10-01,100.53,138.2,14.025,4.9,60700.0,4140.836756097561,8.11,10.1775,6004.733,-0.013154019829194,0.0184229918938836,0.0126353790613717,0.0128483230435507,0.0042297364998662,-0.0049079754601227,0.0142002989536622,-0.0017261512496183,0,0
1991-01-01,101.07,139.1,14.2,5.3,61470.0,4158.277634146341,6.91,9.6375,6035.178,0.0053715308863024,0.0065123010130245,0.0124777183600712,0.0126853377265239,0.0042119211831033,-0.1479654747225646,-0.0530582166543848,0.0050701671498132,0,0
1991-04-01,101.22,140.1,14.35,5.2,61270.0,4175.718512195122,5.91,9.4925,6126.862,0.0014841199168893,0.0071890726096333,0.0105633802816902,-0.0032536196518626,0.0041942553103144,-0.1447178002894356,-0.0150453955901426,0.0151915983256831,0,0
1991-07-01,100.41,140.9,14.5,6.1,61070.0,4193.159390243903,5.82,9.575,6205.937,-0.0080023710729104,0.0057102069950036,0.0104529616724737,-0.0032642402480822,0.0041767370089351,-0.015228426395939,0.0086910718988675,0.0129062805723385,0,0
1991-10-01,102.01,142.95,14.65,6.2,60870.0,4210.600268292683,5.21,8.855,6264.54,0.0159346678617668,0.0145493257629523,0.010344827586207,-0.0032749304077288,0.004159364437555,-0.1048109965635739,-0.075195822454308,0.009443054288176,0,0
1992-01-01,102.32,142.9,14.8,6.6,60670.0,4228.041146341463,4.03,8.431999999999999,6363.102,0.0030389177531613,-0.0003497726477788,0.0102389078498292,-0.0032856908164942,0.0041421357852742,-0.2264875239923224,-0.0477696216826654,0.0157333180089838,0,0
1992-04-01,101.5,143.1,14.875,6.3,58865.0,4245.482024390244,3.73,8.8525,6470.763,-0.0080140734949177,0.001399580125962,0.0050675675675675,-0.029751112576232,0.0041250492710727,-0.0744416873449131,0.0498695445920305,0.0169195779039845,0,0
1992-07-01,102.32,144.8,14.95,7.0,57060.0,4262.922902439024,3.25,8.128,6566.641,0.0080788177339901,0.0118798043326346,0.0050420168067226,-0.0306633823154676,0.0041081031431962,-0.1286863270777479,-0.0818412877718157,0.0148171088942679,0,0
1992-10-01,102.43,146.45,15.025,6.6,55255.0,4280.363780487804,3.1,8.088,6680.803,0.0010750586395622,0.0113950276243093,0.0050167224080268,-0.0316333683841569,0.0040912956785592,-0.0461538461538461,-0.0049212598425197,0.017385144094218,0,0
1993-01-01,102.2,147.8,15.1,6.8,53450.0,4297.8046585365855,3.02,7.9925,6729.459,-0.002245435907449,0.00921816319563,0.0049916805324459,-0.0326667269930323,0.0040746251821599,-0.0258064516129032,-0.0118076162215627,0.0072829568541386,0,0
1993-04-01,102.4,148.85,14.95,6.1,54510.0,4315.245536585366,2.96,7.471999999999999,6808.939,0.0019569471624265,0.007104194857916,-0.0099337748344371,0.0198316183348923,0.0040580899865092,-0.0198675496688741,-0.0651235533312482,0.0118107562584155,0,0
1993-07-01,102.42,149.2,14.8,6.8,55570.0,4332.686414634146,3.06,7.206,6882.098,0.0001953125,0.0023513604299629,-0.0100334448160533,0.0194459732159237,0.0040416884510774,0.0337837837837837,-0.0355995717344751,0.0107445521247877,0,0
1993-10-01,102.96,150.3,14.65,6.3,56630.0,4350.127292682927,2.99,6.8340000000000005,7013.738,0.0052724077328645,0.0073726541554961,-0.0101351351351351,0.0190750404894728,0.004025418961749,-0.0228758169934639,-0.0516236469608659,0.019127888036468,0,0
1994-01-01,103.15,150.9,14.5,6.3,57690.0,4367.568170731707,3.05,7.0600000000000005,7115.652,0.001845376845377,0.0039920159680637,-0.0102389078498293,0.018717993996115,0.0040092799302944,0.0200668896321067,0.0330699443956687,0.0145306254667625,0,0
1994-04-01,102.23,151.45,14.325,5.6,57652.5,4385.009048780487,3.56,8.315999999999999,7246.931,-0.0089190499272904,0.0036447978793903,-0.0120689655172414,-0.00065002600104,0.0039932697938538,0.1672131147540985,0.1779036827195466,0.0184493283257809,0,0
1994-07-01,101.16,151.8,14.15,6.0,57615.0,4402.449926829268,4.26,8.614,7331.075,-0.0104665949329942,0.0023109937273029,-0.0122164048865618,-0.0006504488096786,0.0039773870144308,0.196629213483146,0.035834535834536,0.0116109840151645,0,0
1994-10-01,100.28,153.35,13.975,5.8,57577.5,4419.890804878049,4.76,8.925,7455.288,-0.0086990905496243,0.0102108036890644,-0.0123674911660778,-0.000650872168706,0.0039616300784008,0.1173708920187792,0.0361040167169723,0.0169433541465611,0,0
1995-01-01,100.0,153.8,13.8,6.1,57540.0,4437.331682926829,5.53,9.1475,7522.289,-0.002792181890706,0.0029344636452559,-0.0125223613595706,-0.0006512960791975,0.0039459974960311,0.161764705882353,0.0249299719887954,0.0089870438271466,0,0
1995-04-01,100.89,154.9,13.775,5.9,57725.0,4454.77256097561,6.05,8.32,7580.997,0.0088999999999999,0.0071521456436931,-0.0018115942028985,0.0032151546750087,0.0039304878010104,0.0940325497287521,-0.0904618748291883,0.0078045392831889,0,0
1995-07-01,102.14,156.1,13.75,6.5,57910.0,4472.21343902439,5.85,7.6075,7683.125,0.0123897313906233,0.0077469335054873,-0.0018148820326678,0.0032048505846686,0.0039150995499892,-0.0330578512396694,-0.0856370192307692,0.0134715790020758,0,0
1995-10-01,102.87,155.7,13.725,6.0,58095.0,4489.654317073171,5.76,7.475,7772.586,0.0071470530644213,-0.0025624599615631,-0.0018181818181818,0.0031946123294768,0.0038998313221352,-0.0153846153846153,-0.0174170226749917,0.0116438298218499,0,0
1996-01-01,104.04,156.8,13.7,5.9,58280.0,4507.095195121951,5.56,7.029999999999999,7868.468,0.0113735783027122,0.0070648683365448,-0.0018214936247723,0.0031844392804889,0.0038846817186919,-0.0347222222222222,-0.0595317725752508,0.0123359201171913,0,0
1996-04-01,102.69,158.7,13.6,5.8,57927.5,4524.536073170732,5.22,7.925000000000001,8032.84,-0.0129757785467128,0.0121173469387754,-0.0072992700729926,-0.0060483870967742,0.0038696493625556,-0.0611510791366906,0.1273115220483642,0.0208899623154088,0,0
1996-07-01,101.68,160.1,13.5,6.4,57575.0,4541.976951219513,5.4,8.245000000000001,8131.408,-0.009835427013341,0.0088216761184625,-0.0073529411764705,-0.0060851926977687,0.0038547328978544,0.0344827586206897,0.0403785488958989,0.0122706290676772,0,0
1996-10-01,102.37,161.0,13.4,5.9,57222.5,4559.417829268293,5.24,7.915,8259.771,0.0067859952793076,0.0056214865708932,-0.0074074074074074,-0.0061224489795917,0.0038399309895436,-0.0296296296296296,-0.0400242571255307,0.0157860729654693,0,0
1997-01-01,102.79,161.6,13.3,6.0,56870.0,4576.858707317073,5.25,7.824,8362.655,0.0041027644817817,0.0037267080745342,-0.0074626865671642,-0.0061601642710472,0.0038252423230049,0.0019083969465647,-0.0114971572962728,0.0124560354034028,0,0
