Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP
1990-01-01,102.11,132.0,13.5,3.8,58390.0,4088.5141219512197,8.23,9.895,5872.701
1990-04-01,102.41,133.9,13.675,3.8,59160.0,4105.955,8.26,10.370000000000001,5960.028
1990-07-01,101.87,135.7,13.85,4.7,59930.0,4123.39587804878,8.15,10.035,6015.116
1990-10-01,100.53,138.2,14.024999999999999,4.9,60700.0,4140.836756097561,8.11,10.1775,6004.733
1991-01-01,101.07,139.1,14.2,5.3,61470.0,4158.277634146341,6.91,9.6375,6035.178
1991-04-01,101.22,140.1,14.35,5.2,61270.0,4175.718512195122,5.91,9.4925,6126.862
1991-07-01,100.41,140.9,14.5,6.1,61070.0,4193.159390243903,5.82,9.575,6205.937
1991-10-01,102.01,142.95,14.65,6.2,60870.0,4210.600268292683,5.21,8.855,6264.54
1992-01-01,102.32,142.9,14.8,6.6,60670.0,4228.041146341463,4.03,8.431999999999999,6363.102
1992-04-01,101.5,143.1,14.875,6.3,58865.0,4245.482024390244,3.73,8.8525,6470.763
1992-07-01,102.32,144.8,14.95,7.0,57060.0,4262.922902439024,3.25,8.128,6566.641
1992-10-01,102.43,146.45,15.025,6.6,55255.0,4280.363780487804,3.1,8.088,6680.803
1993-01-01,102.2,147.8,15.1,6.8,53450.0,4297.8046585365855,3.02,7.9925,6729.459
1993-04-01,102.4,148.85,14.95,6.1,54510.0,4315.245536585366,2.96,7.4719999999999995,6808.939
1993-07-01,102.42,149.2,14.8,6.8,55570.0,4332.686414634146,3.06,7.206,6882.098
1993-10-01,102.96,150.3,14.65,6.3,56630.0,4350.127292682927,2.99,6.8340000000000005,7013.738
1994-01-01,103.15,150.9,14.5,6.3,57690.0,4367.568170731707,3.05,7.0600000000000005,7115.652
1994-04-01,102.23,151.45,14.325,5.6,57652.5,4385.009048780487,3.56,8.315999999999999,7246.931
1994-07-01,101.16,151.8,14.15,6.0,57615.0,4402.449926829268,4.26,8.614,7331.075
1994-10-01,100.28,153.35,13.975000000000001,5.8,57577.5,4419.890804878049,4.76,8.925,7455.288
1995-01-01,100.0,153.8,13.8,6.1,57540.0,4437.331682926829,5.53,9.1475,7522.289
1995-04-01,100.89,154.9,13.775,5.9,57725.0,4454.77256097561,6.05,8.32,7580.997
1995-07-01,102.14,156.1,13.75,6.5,57910.0,4472.21343902439,5.85,7.6075,7683.125
1995-10-01,102.87,155.7,13.725,6.0,58095.0,4489.654317073171,5.76,7.475,7772.586
1996-01-01,104.04,156.8,13.7,5.9,58280.0,4507.095195121951,5.56,7.029999999999999,7868.468
1996-04-01,102.69,158.7,13.6,5.8,57927.5,4524.5360731707315,5.22,7.925000000000001,8032.84
1996-07-01,101.68,160.1,13.5,6.4,57575.0,4541.976951219513,5.4,8.245000000000001,8131.408
1996-10-01,102.37,161.0,13.4,5.9,57222.5,4559.417829268293,5.24,7.915,8259.771
1997-01-01,102.79,161.6,13.3,6.0,56870.0,4576.858707317073,5.25,7.824,8362.655
1997-04-01,102.37,162.0,13.15,5.5,57370.0,4594.299585365854,5.51,8.1425,8518.825
1997-07-01,103.33,162.9,13.0,6.1,57870.0,4611.740463414634,5.52,7.4975,8662.823
1997-10-01,104.11,162.7,12.85,6.0,58370.0,4629.181341463414,5.5,7.294,8765.907
1998-01-01,105.59,162.5,12.7,6.1,58870.0,4646.622219512195,5.56,6.994,8866.48
