Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,Recession,GDP_pct_change,Hot_Market
1990-01-01,102.11,132.0,13.5,3.8,58390.0,4088.51412195122,8.23,9.895,5872.701,0,,0
1990-04-01,102.41,133.9,13.675,3.8,59160.0,4105.955,8.26,10.37,5960.028,0,1.4869989124254746,0
1990-07-01,101.87,135.7,13.85,4.7,59930.0,4123.39587804878,8.15,10.035,6015.116,1,0.9242909597068971,0
1990-10-01,100.53,138.2,14.025,4.9,60700.0,4140.836756097561,8.11,10.1775,6004.733,1,-0.17261512496183906,0
1991-01-01,101.07,139.1,14.2,5.3,61470.0,4158.277634146341,6.91,9.6375,6035.178,1,0.5070167149813232,0
1991-04-01,101.22,140.1,14.35,5.2,61270.0,4175.718512195122,5.91,9.4925,6126.862,0,1.5191598325683175,0
1991-07-01,100.41,140.9,14.5,6.1,61070.0,4193.159390243903,5.82,9.575,6205.937,0,1.2906280572338558,0
1991-10-01,102.01,142.95,14.65,6.2,60870.0,4210.600268292683,5.21,8.855,6264.54,0,0.9443054288176045,0
1992-01-01,102.32,142.9,14.8,6.6,60670.0,4228.041146341463,4.03,8.431999999999999,6363.102,0,1.573331800898381,0
1992-04-01,101.5,143.1,14.875,6.3,58865.0,4245.482024390244,3.73,8.8525,6470.763,0,1.6919577903984573,0
1992-07-01,102.32,144.8,14.95,7.0,57060.0,4262.922902439024,3.25,8.128,6566.641,0,1.4817108894267905,0
1992-10-01,102.43,146.45,15.025,6.6,55255.0,4280.363780487804,3.1,8.088,6680.803,0,1.7385144094218097,0
1993-01-01,102.2,147.8,15.1,6.8,53450.0,4297.8046585365855,3.02,7.9925,6729.459,0,0.72829568541386,0
1993-04-01,102.4,148.85,14.95,6.1,54510.0,4315.245536585366,2.96,7.471999999999999,6808.939,0,1.1810756258415545,0
1993-07-01,102.42,149.2,14.8,6.8,55570.0,4332.686414634146,3.06,7.206,6882.098,0,1.0744552124787754,0
1993-10-01,102.96,150.3,14.65,6.3,56630.0,4350.127292682927,2.99,6.8340000000000005,7013.738,0,1.9127888036468033,1
1994-01-01,103.15,150.9,14.5,6.3,57690.0,4367.568170731707,3.05,7.0600000000000005,7115.652,0,1.4530625466762537,0
1994-04-01,102.23,151.45,14.325,5.6,57652.5,4385.009048780487,3.56,8.315999999999999,7246.931,0,1.8449328325780945,1
1994-07-01,101.16,151.8,14.15,6.0,57615.0,4402.449926829268,4.26,8.614,7331.075,0,1.1610984015164583,0
1994-10-01,100.28,153.35,13.975,5.8,57577.5,4419.890804878049,4.76,8.925,7455.288,0,1.6943354146561118,0
1995-01-01,100.0,153.8,13.8,6.1,57540.0,4437.331682926829,5.53,9.1475,7522.289,0,0.8987043827146657,0
