observation_date,ATNHPIUS47894Q
7/1/1975,31.52
10/1/1975,31.05
1/1/1976,31.14
4/1/1976,32.41
7/1/1976,33.42
10/1/1976,33.19
1/1/1977,33.34
4/1/1977,34.98
7/1/1977,35.81
10/1/1977,36.67
1/1/1978,37.7
4/1/1978,39.07
7/1/1978,40.8
10/1/1978,41.79
1/1/1979,43.22
4/1/1979,44.04
7/1/1979,45.32
10/1/1979,46.23
1/1/1980,48.15
4/1/1980,49.67
7/1/1980,50.94
10/1/1980,51.6
1/1/1981,52.18
4/1/1981,53.07
7/1/1981,51.72
10/1/1981,53.44
1/1/1982,45.5
4/1/1982,53.28
7/1/1982,51.13
10/1/1982,55.38
1/1/1983,55.53
4/1/1983,56.82
7/1/1983,57.03
10/1/1983,57.85
1/1/1984,57.37
4/1/1984,59.74
7/1/1984,60.5
10/1/1984,60.87
1/1/1985,61.61
4/1/1985,62.97
7/1/1985,64.41
10/1/1985,64.83
1/1/1986,65.74
4/1/1986,67.53
7/1/1986,69.51
10/1/1986,71.18
1/1/1987,73.26
4/1/1987,75.83
7/1/1987,79.75
10/1/1987,82.41
1/1/1988,85.65
4/1/1988,89.25
7/1/1988,91.97
10/1/1988,94.4
1/1/1989,96.6
4/1/1989,99.1
7/1/1989,100.94
10/1/1989,101.85
1/1/1990,102.11
4/1/1990,102.41
7/1/1990,101.87
10/1/1990,100.53
1/1/1991,101.07
4/1/1991,101.22
7/1/1991,100.41
10/1/1991,102.01
1/1/1992,102.32
4/1/1992,101.5
7/1/1992,102.32
10/1/1992,102.43
1/1/1993,102.2
4/1/1993,102.4
7/1/1993,102.42
10/1/1993,102.96
1/1/1994,103.15
4/1/1994,102.23
7/1/1994,101.16
10/1/1994,100.28
1/1/1995,100
4/1/1995,100.89
7/1/1995,102.14
10/1/1995,102.87
1/1/1996,104.04
4/1/1996,102.69
7/1/1996,101.68
10/1/1996,102.37
1/1/1997,102.79
4/1/1997,102.37
7/1/1997,103.33
10/1/1997,104.11
1/1/1998,105.59
4/1/1998,105.73
7/1/1998,106.28
10/1/1998,107.46
1/1/1999,108.69
4/1/1999,109.52
7/1/1999,111.45
10/1/1999,113.1
1/1/2000,115.69
4/1/2000,119.38
7/1/2000,122.31
10/1/2000,125.1
1/1/2001,129.2
4/1/2001,133.05
7/1/2001,137.2
10/1/2001,140.24
1/1/2002,143.91
4/1/2002,149.17
7/1/2002,154.24
10/1/2002,157.1
1/1/2003,160.03
4/1/2003,163.19
7/1/2003,168.35
10/1/2003,177.31
1/1/2004,182.84
4/1/2004,192.31
7/1/2004,209.76
10/1/2004,217.45
1/1/2005,227.49
4/1/2005,244.5
7/1/2005,257.78
10/1/2005,268.98
1/1/2006,274.29
4/1/2006,278.67
7/1/2006,279.9
10/1/2006,281.95
1/1/2007,280.11
4/1/2007,278.1
7/1/2007,271.97
10/1/2007,265.68
1/1/2008,258.29
4/1/2008,242.01
7/1/2008,229.66
10/1/2008,225.39
1/1/2009,225.58
4/1/2009,218.12
7/1/2009,213.24
10/1/2009,213.92
1/1/2010,211.72
4/1/2010,211.96
7/1/2010,214.66
10/1/2010,214.15
1/1/2011,209.44
4/1/2011,208.89
7/1/2011,211.71
10/1/2011,213.75
1/1/2012,212.58
4/1/2012,212.12
7/1/2012,215.37
10/1/2012,216.89
1/1/2013,218.51
4/1/2013,222.72
7/1/2013,225.83
10/1/2013,227.43
1/1/2014,229.09
4/1/2014,233.89
7/1/2014,235.74
10/1/2014,238.95
1/1/2015,240.19
4/1/2015,243.38
7/1/2015,245.63
10/1/2015,246.65
1/1/2016,247.64
4/1/2016,251.36
7/1/2016,253.91
10/1/2016,255.9
1/1/2017,253.92
4/1/2017,261.02
7/1/2017,262.16
10/1/2017,263.37
1/1/2018,265.35
4/1/2018,267.91
7/1/2018,270.62
10/1/2018,270.53
1/1/2019,273.46
4/1/2019,278.07
7/1/2019,280.81
10/1/2019,282.95
1/1/2020,285.97
4/1/2020,288.91
7/1/2020,293.29
10/1/2020,298.72
1/1/2021,304.73
4/1/2021,318.67
7/1/2021,330.13
10/1/2021,336.72
1/1/2022,345.63
4/1/2022,362.16
7/1/2022,360.67
10/1/2022,356.32
1/1/2023,357.48
4/1/2023,369.72
7/1/2023,372.73
10/1/2023,371.05
1/1/2024,377.13
4/1/2024,392.17
7/1/2024,394.52
10/1/2024,392.54
