observation_date,MEHOINUSDCA672N
1/1/1984,53650
1/1/1985,53590
1/1/1986,60840
1/1/1987,66430
1/1/1988,62400
1/1/1989,59800
1/1/1990,58390
1/1/1991,61470
1/1/1992,60670
1/1/1993,53450
1/1/1994,57690
1/1/1995,57540
1/1/1996,58280
1/1/1997,56870
1/1/1998,58870
1/1/1999,66710
1/1/2000,68740
1/1/2001,67140
1/1/2002,62930
1/1/2003,71080
1/1/2004,66890
1/1/2005,67310
1/1/2006,70480
1/1/2007,71980
1/1/2008,76010
1/1/2009,72960
1/1/2010,77100
1/1/2011,72570
1/1/2012,84080
1/1/2013,76460
1/1/2014,85710
1/1/2015,88030
1/1/2016,88390
1/1/2017,99470
1/1/2018,102900
1/1/2019,110100
1/1/2020,103200
1/1/2021,101500
1/1/2022,105700
1/1/2023,111000
