Label,Value
1/1/1990,2.7
2/1/1990,2.8
3/1/1990,2.6
4/1/1990,2.6
5/1/1990,2.8
6/1/1990,3.2
7/1/1990,3.2
8/1/1990,3.4
9/1/1990,3.6
10/1/1990,3.4
11/1/1990,3.8
12/1/1990,3.7
1/1/1991,4.2
2/1/1991,4.5
3/1/1991,4.4
4/1/1991,4.1
5/1/1991,4.5
6/1/1991,4.7
7/1/1991,4.5
8/1/1991,4.6
9/1/1991,4.6
10/1/1991,4.6
11/1/1991,4.6
12/1/1991,4.6
1/1/1992,5.3
2/1/1992,5.5
3/1/1992,5.3
4/1/1992,4.8
5/1/1992,5.1
6/1/1992,5.4
7/1/1992,5.1
8/1/1992,5
9/1/1992,5.1
10/1/1992,4.9
11/1/1992,4.8
12/1/1992,4.5
1/1/1993,5.1
2/1/1993,5.1
3/1/1993,4.7
4/1/1993,4.4
5/1/1993,4.6
6/1/1993,4.9
7/1/1993,4.8
8/1/1993,4.7
9/1/1993,4.5
10/1/1993,4.5
11/1/1993,4.2
12/1/1993,4
1/1/1994,4.6
2/1/1994,4.5
3/1/1994,4.3
4/1/1994,3.9
5/1/1994,3.9
6/1/1994,4.2
7/1/1994,4.1
8/1/1994,4.1
9/1/1994,4
10/1/1994,4
11/1/1994,3.8
12/1/1994,3.6
1/1/1995,4.3
2/1/1995,4.1
3/1/1995,4
4/1/1995,4
5/1/1995,4.1
6/1/1995,4.4
7/1/1995,4.2
8/1/1995,4.2
9/1/1995,4.2
10/1/1995,4
11/1/1995,3.9
12/1/1995,3.7
1/1/1996,4
2/1/1996,4.1
3/1/1996,4
4/1/1996,3.7
5/1/1996,4
6/1/1996,4.1
7/1/1996,4
8/1/1996,3.8
9/1/1996,3.8
10/1/1996,3.7
11/1/1996,3.6
12/1/1996,3.4
1/1/1997,4
2/1/1997,3.9
3/1/1997,3.7
4/1/1997,3.4
5/1/1997,3.4
6/1/1997,3.7
7/1/1997,3.5
8/1/1997,3.6
9/1/1997,3.5
10/1/1997,3.4
11/1/1997,3.2
12/1/1997,3.1
1/1/1998,3.5
2/1/1998,3.6
3/1/1998,3.3
4/1/1998,2.8
5/1/1998,2.9
6/1/1998,3.3
7/1/1998,3.1
8/1/1998,3.1
9/1/1998,3.1
10/1/1998,2.9
11/1/1998,2.7
12/1/1998,2.4
1/1/1999,2.8
2/1/1999,2.9
3/1/1999,2.6
4/1/1999,2.5
5/1/1999,2.5
6/1/1999,2.8
7/1/1999,2.7
8/1/1999,2.6
9/1/1999,2.5
10/1/1999,2.4
11/1/1999,2.3
12/1/1999,2.1
1/1/2000,2.9
2/1/2000,3
3/1/2000,2.8
4/1/2000,2.4
5/1/2000,2.7
6/1/2000,3
7/1/2000,2.9
8/1/2000,2.9
9/1/2000,2.7
10/1/2000,2.6
11/1/2000,2.5
12/1/2000,2.4
1/1/2001,2.9
2/1/2001,3
3/1/2001,3
4/1/2001,2.8
5/1/2001,2.9
6/1/2001,3.5
7/1/2001,3.4
8/1/2001,3.7
9/1/2001,3.7
10/1/2001,4
11/1/2001,4
12/1/2001,3.8
1/1/2002,4.4
2/1/2002,4.3
3/1/2002,4.2
4/1/2002,4
5/1/2002,4
6/1/2002,4.3
7/1/2002,4.1
8/1/2002,4.1
9/1/2002,3.7
10/1/2002,3.7
11/1/2002,3.8
12/1/2002,3.6
1/1/2003,4.1
2/1/2003,4.2
3/1/2003,4
4/1/2003,3.7
5/1/2003,3.8
6/1/2003,4.3
7/1/2003,4
8/1/2003,3.9
9/1/2003,3.7
10/1/2003,3.6
11/1/2003,3.6
12/1/2003,3.4
1/1/2004,3.9
2/1/2004,3.8
3/1/2004,3.9
4/1/2004,3.4
5/1/2004,3.6
6/1/2004,4.1
7/1/2004,3.9
8/1/2004,3.8
9/1/2004,3.5
10/1/2004,3.5
11/1/2004,3.6
12/1/2004,3.4
1/1/2005,3.8
2/1/2005,3.9
3/1/2005,3.7
4/1/2005,3.4
5/1/2005,3.5
6/1/2005,3.8
7/1/2005,3.5
8/1/2005,3.4
9/1/2005,3.3
10/1/2005,3.1
11/1/2005,3.2
12/1/2005,2.8
1/1/2006,3.2
2/1/2006,3.2
3/1/2006,3
4/1/2006,2.9
5/1/2006,3
6/1/2006,3.4
7/1/2006,3.5
8/1/2006,3.3
9/1/2006,3.1
10/1/2006,2.9
11/1/2006,3
12/1/2006,2.8
1/1/2007,3.3
2/1/2007,3.2
3/1/2007,2.9
