Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,64.3,64.5,64.7,65.25,65.8,66.4,67,67.5,68,68.55,69.1,69.9
1979,70.7,71.35,72,72.6,73.2,73.95,74.7,75.1,75.5,75.9,76.3,77.4
1980,78.5,79.7,80.9,81.3,81.7,82.7,83.7,84.05,84.4,85.15,85.9,86.5
1981,87.1,87.95,88.8,89.25,89.7,90.1,90.5,91.3,92.1,92.7,93.3,93.75
1982,94.2,94.3,94.4,94.35,94.3,94.8,95.3,96.15,97,97,97,97.5
1983,98,98,98,98.6,99.2,99.9,100.6,100.65,100.7,100.95,101.2,102.05
1984,102.9,103.1,103.3,103.4,103.5,103.95,104.4,105.2,106,106.35,106.7,106.65
1985,106.6,107.35,108.1,108.2,108.3,108.9,109.5,109.55,109.6,110.15,110.7,111.45
1986,112.2,111.85,111.5,111.55,111.6,111.55,111.5,112.05,112.6,112.85,113.1,113.4
1987,113.7,114.1,114.5,114.9,115.3,115.75,116.2,117,117.8,118.15,118.5,118.4
1988,118.3,118.75,119.2,119.65,120.1,120.4,120.7,121.75,122.8,123,123.2,123.75
1989,124.3,125.2,126.1,126.6,127.1,127.45,127.8,128.95,130.1,130.3,130.5,131.25
1990,132,132.9,133.8,133.9,134,134.85,135.7,136.85,138,138.2,138.4,138.75
1991,139.1,139.2,139.3,140.1,140.9,140.9,140.9,142.1,143.3,142.95,142.6,142.75
1992,142.9,142.95,143,143.1,143.2,144,144.8,145.4,146,146.45,146.9,147.35
1993,147.8,148.15,148.5,148.85,149.2,149.2,149.2,149.45,149.7,150.3,150.9,150.9
1994,150.9,151.2,151.5,151.45,151.4,151.6,151.8,152.75,153.7,153.35,153,153.4
1995,153.8,154.45,155.1,154.9,154.7,155.4,156.1,156.15,156.2,155.7,155.2,156
1996,156.8,157.6,158.4,158.7,159,159.55,160.1,160.45,160.8,161,161.2,161.4
1997,161.6,161.75,161.9,162,162.1,162.5,162.9,163.25,163.6,162.7,161.8,162.15
1998,162.5,163,163.5,163.55,163.6,164.25,164.9,165.05,165.2,164.85,164.5,164.95
1999,165.4,165.65,165.9,166.45,167,167.65,168.3,169.05,169.8,169.45,169.1,169.45
2000,169.8,171.5,173.2,172.85,172.5,173.65,174.8,174.9,175,175.15,175.3,175.6
2001,175.9,176.55,177.2,177.6,178,178.6,179.2,180.05,180.9,180.2,179.5,179.75
2002,180,180.95,181.9,182.75,183.6,183.9,184.2,185,185.8,185.6,185.4,185.85
2003,186.3,187.55,188.8,188.75,188.7,189.45,190.2,190.5,190.8,190.6,190.4,190.55
2004,190.7,191.75,192.8,193.45,194.1,194.75,195.4,195.95,196.5,196.85,197.2,197.7
2005,198.2,199.3,200.4,201.1,201.8,202.3,202.8,204.2,205.6,204.95,204.3,204.95
2006,205.6,206,206.4,207.75,209.1,210.25,211.4,211.3,211.2,210.65,210.1,210.6005
2007,211.101,212.778,214.455,215.276,216.097,216.6475,217.198,217.8275,218.457,218.394,218.331,219.459
2008,220.587,221.5705,222.554,223.5395,224.525,226.7215,228.918,228.8945,228.871,226.22,223.569,222.6995
2009,221.83,222.23,222.63,223.1065,223.583,224.8335,226.084,226.6325,227.181,226.857,226.533,226.9865
2010,227.44,227.96,228.48,228.554,228.628,228.53,228.432,229.522,230.612,230.5715,230.531,231.6505
2011,232.77,233.976,235.182,236.265,237.348,237.7695,238.191,238.458,238.725,238.45,238.175,238.5845
2012,238.994,240.6145,242.235,242.3405,242.446,242.095,241.744,243.232,244.72,243.9595,243.199,243.336
2013,243.473,244.475,245.477,245.488,245.499,245.8385,246.178,247.008,247.838,247.551,247.264,247.4715
2014,247.679,248.635,249.591,250.017,250.443,250.3845,250.326,250.48,250.634,250.303,249.972,248.5495
2015,247.127,248.556,249.985,250.905,251.825,251.4085,250.992,251.684,252.376,251.8515,251.327,251.067
2016,250.807,251.7625,252.718,253.784,254.85,254.5775,254.305,253.909,253.513,253.751,253.989,254.242
2017,254.495,254.965,255.435,255.4685,255.502,255.51,255.518,256.667,257.816,257.844,257.872,259.0455
2018,260.219,260.1225,260.026,260.898,261.77,261.893,262.016,262.536,263.056,262.088,261.12,261.712
2019,262.304,263.2805,264.257,265.112,265.967,265.5685,265.17,265.335,265.5,265.263,265.026,265.7295
2020,266.433,265.909,265.385,265.559,265.733,266.51,267.287,268.0375,268.788,268.744,268.7,269.6175
2021,270.535,271.441,272.347,274.0845,275.822,277.4605,279.099,280.016,280.933,282.5865,284.24,285.459
2022,286.678,289.4525,292.227,294.393,296.559,298.248,299.937,299.6025,299.268,299.6765,300.085,299.617
2023,299.149,301.0395,302.93,304.272,305.614,305.4435,305.273,307.2635,309.254,308.8365,308.419,309.19
2024,309.961,311.5345,313.108,314.3875,315.667,316.056,316.445,316.9135,317.382,317.0635,316.745,317.46
2025,318.175,319.3895,320.604,,,,,,,,,
