Year,Divorce_Rate,Marriage_Rate,Population,Median_Household_Income,Poverty_Rate,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,GDP_Growth,ZHVI
1999,,,,,,6.575,167.76666666666668,,8.06,,
2000,3.2,4.9,572.046,41220.0,17.5,5.691666666666666,173.6875,6.235833333333333,8.053461538461539,2.95,183941.77279951904
2001,2.9,6.2,574.504,41170.0,18.1,6.466666666666666,178.6208333333333,3.8874999999999997,6.967884615384615,0.175,203565.2534590712
2002,2.4,5.1,573.158,39070.0,17.5,6.983333333333333,183.7458333333333,1.6666666666666667,6.537307692307692,2.0,231334.43759950876
2003,2.0,5.1,568.502,45040.0,17.5,7.2749999999999995,189.38333333333333,1.1275,5.826981132075471,4.3,265816.1777978767
2004,1.8,5.2,567.754,43450.0,19.9,8.083333333333334,194.76250000000002,1.3491666666666668,5.839230769230769,3.3249999999999997,313776.3637114497
2005,2.0,4.1,567.136,44990.0,18.9,6.991666666666667,202.49166666666667,3.2133333333333334,5.866730769230769,2.975,385669.5651526171
2006,2.1,4.0,570.681,48480.0,19.6,6.325,209.195875,4.964166666666666,6.413269230769231,2.65,431815.9546509616
2007,1.7,4.2,574.404,50780.0,16.4,5.95,216.33508333333336,5.019166666666666,6.337307692307693,2.125,417598.20035592094
2008,2.7,4.1,580.236,55590.0,17.2,6.8500000000000005,224.889125,1.9275,6.027169811320754,-2.475,368734.60767234396
2009,2.7,4.7,592.228,53140.0,18.4,10.0,224.87391666666667,0.16,5.036538461538461,0.15000000000000008,322127.8912768004
2010,2.8,7.6,605.282,56930.0,19.2,9.950000000000001,229.24258333333333,0.17500000000000002,4.689807692307692,2.75,319386.6297326946
2011,2.9,8.7,620.29,55250.0,18.7,10.191666666666666,236.99116666666666,0.10166666666666667,4.447884615384615,1.575,314090.57548590604
2012,2.9,8.4,635.737,65250.0,18.2,8.975,242.409625,0.14,3.6574999999999998,1.575,319727.20578066277
2013,2.8,10.8,651.559,60060.0,18.9,8.433333333333334,246.13008333333335,0.1075,3.9755769230769227,3.025,345157.2019646025
2014,2.6,11.8,663.603,68280.0,17.7,7.708333333333333,249.75116666666668,0.08916666666666667,4.168867924528302,2.725,365407.41422540223
2015,2.8,8.2,677.014,70070.0,17.3,6.916666666666667,250.75866666666664,0.1325,3.8505769230769227,2.1,373097.756815299
2016,2.7,8.1,687.576,70980.0,18.6,6.233333333333333,253.51733333333334,0.395,3.6540384615384616,2.175,381907.19750910066
2017,2.5,8.2,697.079,81280.0,16.6,6.1000000000000005,256.3448333333333,1.0016666666666667,3.9898076923076924,3.025,394467.1202692291
2018,2.5,7.8,704.147,85750.0,16.2,5.683333333333334,261.4547083333334,1.8316666666666668,4.544615384615384,2.125,408548.7062970221
2019,2.4,7.8,708.253,93110.0,15.5,5.5,264.87604166666665,2.158333333333333,3.935769230769231,3.375,421957.79185051686
2020,2.1,6.5,670.917,88220.0,13.5,7.891666666666667,267.22525,0.3758333333333333,3.111698113207547,1.5000000000000004,443698.22391580814
2021,2.6,7.3,669.256,90640.0,16.5,6.875,277.8352916666667,0.08,2.957692307692308,5.725,493457.52527822857
2022,2.0,8.3,676.725,101700.0,13.3,4.75,296.31195833333334,1.6833333333333333,5.344038461538461,1.35,530026.6106707988
2023,,,687.324,111000.0,14.0,4.875,305.557,5.024166666666667,6.806730769230769,3.2,536099.9996299258
2024,,,702.25,,,5.408333333333334,315.1673333333333,5.1433333333333335,6.721153846153846,2.5,557866.4796021965
2025,,,,,,,,4.33,6.946666666666666,,
