,Description
House_Index_diff1,First difference of House Index
House_Index_pct_change,Percentage change in House Index
GDP_diff1,First difference of GDP
CPI_diff1,First difference of CPI
Interest_Rate_diff1,First difference of Interest Rate
Mortgage_Rate_diff1,First difference of Mortgage Rate
Unemployment_Rate,Unemployment Rate (already stationary)
Median_Household_Income_diff1,First difference of Median Household Income
Population_diff1,First difference of Population
Poverty_Rate_diff1,First difference of Poverty Rate
Interest_Rate_diff1_lag1,"Interest Rate diff, lagged 1 quarter"
CPI_diff1_lag3,"CPI diff, lagged 3 quarters"
Mortgage_Rate_diff1_lag2,"Mortgage Rate diff, lagged 2 quarters"
Poverty_Rate_diff1_lag5,"Poverty Rate diff, lagged 5 quarters"
CPI_pct_change,Percentage change in CPI
GDP_pct_change,Percentage change in GDP
Unemployment_Rate_pct_change,Percentage change in Unemployment Rate
recession_period,Indicator for recession periods (1=recession)
hot_market,Indicator for rapid price growth (1=hot market)
rising_rates,Indicator for rising interest rates (1=rising)
price_to_income_ratio_diff1,First difference of Price-to-Income ratio
real_interest_rate,Interest Rate adjusted for inflation
real_mortgage_rate,Mortgage Rate adjusted for inflation
price_momentum,Percentage change over 2 quarters
