Date,ZHVI,Poverty_Rate_lag15,Unemployment_Rate_lag2,Interest_Rate,real_mortgage_rate,hot_market,rising_rates
2001-04-01,197649.402,17.5,6.0,4.8,4.329452560023147,0,0
2001-05-01,199734.9308,17.5,6.1,4.21,3.956594202898554,1,0
2001-06-01,201958.6422,17.5,6.1,3.97,4.309438525770226,1,0
2001-07-01,204256.3119,17.5,6.2,3.77,4.610337528604139,1,0
2001-08-01,206618.2835,17.5,6.3,3.65,4.0054602630074205,1,0
2001-09-01,208946.9481,17.5,6.4,3.07,3.446071428571419,1,0
2001-10-01,211164.9599,17.5,6.6,2.49,3.7342570653725495,1,0
2001-11-01,213353.9444,17.5,6.8,2.09,4.262107244723349,1,0
2001-12-01,215516.9554,17.5,7.0,1.82,4.7016742596811,1,0
2002-01-01,217459.5527,17.5,7.1,1.73,4.666630187606589,1,0
2002-02-01,219232.9986,17.5,7.1,1.74,4.4002881619937915,1,0
2002-03-01,221071.5565,17.5,7.2,1.73,4.36162979683973,1,0
2002-04-01,223308.3493,18.1,7.2,1.75,4.085225225225212,1,0
2002-05-01,225950.542,18.1,7.1,1.75,3.659932584269664,1,0
2002-06-01,228891.8561,18.1,7.1,1.75,3.6824748040313438,1,0
2002-07-01,232110.2971,18.1,7.0,1.73,3.6948214285714194,1,0
2002-08-01,235507.6467,18.1,7.0,1.74,3.5407636767564687,1,0
2002-09-01,238817.3881,18.1,6.9,1.75,3.3838211719181883,1,1
2002-10-01,241876.6148,18.1,6.8,1.75,3.115829633740276,1,0
2002-11-01,244597.6219,18.1,6.8,1.34,2.781091922005567,1,0
2002-12-01,247188.8274,18.1,6.8,1.24,2.6538977746870698,1,0
2003-01-01,249443.0736,18.1,6.9,1.24,2.415999999999986,1,0
2003-02-01,251846.7985,18.1,7.0,1.26,2.1950835866261285,1,0
2003-03-01,254389.5635,18.1,7.0,1.25,1.951706981858159,1,0
2003-04-01,257321.7312,17.5,7.1,1.26,2.529326265389866,1,0
2003-05-01,260374.9591,17.5,7.2,1.26,2.706222222222232,1,0
2003-06-01,263616.1065,17.5,7.3,1.22,2.212055464926598,1,0
2003-07-01,267014.2389,17.5,7.3,1.01,2.375171009771986,1,0
2003-08-01,270414.6742,17.5,7.4,1.03,3.2910270270270354,1,0
2003-09-01,273853.4797,17.5,7.4,1.01,3.4564343379978544,1,0
2003-10-01,277296.3296,17.5,7.4,1.01,3.25803448275863,1,0
2003-11-01,280583.8043,17.5,7.3,1.0,3.2356283710895424,1,0
2003-12-01,283639.3743,17.5,7.3,0.98,3.3470788270110265,1,0
2004-01-01,286402.0668,17.5,7.3,1.0,3.3507179280730126,1,0
2004-02-01,289510.4273,17.5,7.3,1.01,3.395597174086916,1,0
2004-03-01,293028.796,17.5,7.4,1.0,3.3263559322033958,1,0
2004-04-01,297369.7285,17.5,7.6,1.0,3.339933774834434,1,0
2004-05-01,302469.561,17.5,7.8,1.0,3.4083147853736024,1,0
2004-06-01,308384.999,17.5,7.9,1.03,3.489928081287939,1,1
2004-07-01,315222.5496,17.5,8.1,1.26,3.322035751840163,1,1
2004-08-01,322267.6722,17.5,8.2,1.43,3.0066076115485583,1,1
2004-09-01,329347.7588,17.5,8.3,1.61,2.766578616352196,1,1
2004-10-01,335353.0355,17.5,8.4,1.76,2.443381427072403,1,1
2004-11-01,340532.8113,17.5,8.4,1.93,2.1585714285714417,1,1
