Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2001-04-01,1747.9664000000048,4.8,40104.19437682007,4.329452560023147,17.5,6.0
2001-05-01,2085.5288,4.21,39770.9466283084,3.956594202898554,17.5,6.1
2001-06-01,2223.7114,3.97,39456.83369369633,4.309438525770226,17.5,6.1
2001-07-01,2297.6696999999986,3.77,39193.01295245248,4.610337528604139,17.5,6.2
2001-08-01,2361.97159999999,3.65,38973.27513401616,4.0054602630074205,17.5,6.3
2001-09-01,2328.6646000000183,3.07,38818.84641451459,3.446071428571419,17.5,6.4
2001-10-01,2218.0117999999784,2.49,38742.59394908746,3.7342570653725495,17.5,6.6
2001-11-01,2188.9845000000205,2.09,38750.81301889524,4.262107244723349,17.5,6.8
2001-12-01,2163.0109999999986,1.82,38853.865390218176,4.7016742596811,17.5,7.0
2002-01-01,1942.597299999994,1.73,39070.0,4.666630187606589,17.5,7.1
2002-02-01,1773.4458999999915,1.74,39403.64117548161,4.4002881619937915,17.5,7.1
2002-03-01,1838.5579000000143,1.73,39792.98250384589,4.36162979683973,17.5,7.2
2002-04-01,2236.7927999999956,1.75,40301.81169022914,4.085225225225212,18.1,7.2
2002-05-01,2642.192699999985,1.75,40852.60732075209,3.659932584269664,18.1,7.1
2002-06-01,2941.314100000018,1.75,41461.32937601309,3.6824748040313438,18.1,7.1
2002-07-01,3218.4409999999916,1.73,42068.833776106905,3.6948214285714194,18.1,7.0
2002-08-01,3397.349600000016,1.74,42694.86108626995,3.5407636767564687,18.1,7.0
2002-09-01,3309.741399999999,1.75,43298.0327929636,3.3838211719181883,18.1,6.9
2002-10-01,3059.2266999999993,1.75,43839.89570962816,3.115829633740276,18.1,6.8
2002-11-01,2721.007099999988,1.34,44335.81430260476,2.781091922005567,18.1,6.8
2002-12-01,2591.205500000011,1.24,44733.92213471617,2.6538977746870698,18.1,6.8
2003-01-01,2254.246199999994,1.24,45040.0,2.415999999999986,18.1,6.9
2003-02-01,2403.724900000001,1.26,45224.201759865886,2.1950835866261285,18.1,7.0
2003-03-01,2542.764999999985,1.25,45293.90272626941,1.951706981858159,18.1,7.0
2003-04-01,2932.16770000002,1.26,45278.932830496175,2.529326265389866,17.5,7.1
2003-05-01,3053.227899999998,1.26,45186.993208798856,2.706222222222232,17.5,7.2
2003-06-01,3241.147399999987,1.22,45027.69564226091,2.212055464926598,17.5,7.3
2003-07-01,3398.1324000000022,1.01,44826.38512588572,2.375171009771986,17.5,7.3
2003-08-01,3400.435300000012,1.03,44585.38204777821,3.2910270270270354,17.5,7.4
2003-09-01,3438.8055000000168,1.01,44326.855206336746,3.4564343379978544,17.5,7.4
2003-10-01,3442.849899999972,1.01,44075.216295787,3.25803448275863,17.5,7.4
2003-11-01,3287.4747000000207,1.0,43829.4304779556,3.2356283710895424,17.5,7.3
2003-12-01,3055.570000000007,0.98,43620.42263502615,3.3470788270110265,17.5,7.3
2004-01-01,2762.6924999999464,1.0,43450.0,3.3507179280730126,17.5,7.3
2004-02-01,3108.36050000001,1.01,43338.49582723196,3.395597174086916,17.5,7.3
2004-03-01,3518.368699999992,1.0,43286.94850273839,3.3263559322033958,17.5,7.4
2004-04-01,4340.932500000054,1.0,43284.361492878284,3.339933774834434,17.5,7.6
2004-05-01,5099.83249999996,1.0,43329.74436560356,3.4083147853736024,17.5,7.8
2004-06-01,5915.438000000024,1.03,43422.127890699005,3.489928081287939,17.5,7.9
2004-07-01,6837.550600000017,1.26,43551.72796930728,3.322035751840163,17.5,8.1
2004-08-01,7045.122599999944,1.43,43723.18985160536,3.0066076115485583,17.5,8.2
2004-09-01,7080.086600000039,1.61,43928.74873148327,2.766578616352196,17.5,8.3
2004-10-01,6005.276699999988,1.76,44156.27567098677,2.443381427072403,17.5,8.4
2004-11-01,5179.775800000003,1.93,44416.94437768585,2.1585714285714417,17.5,8.4
2004-12-01,4894.147200000007,2.16,44690.11364423264,1.9997040146943128,17.5,8.4
2005-01-01,5231.8223,2.28,44990.0,1.7771211326691088,17.5,8.3
2005-02-01,5276.592200000014,2.5,45303.742692503285,1.6900814863102838,17.5,8.2
